FisheryNumber,FisheryName,Gear,Term_PreTerm,Jurisdiction,Region,PSTFisheryType,Cohort_Type,CMB,CYER,MDT,MDTFigureReport,MDTFigureDetailed,sum_landed,LW_notes,Category in Winther et al. 2024,used_for_preterminal_ER_phi_dot_E_age5_6
15,TOR TERM T,Troll,Term,SUS,Oregon,Terminal,Term,Terminal Southern US Troll,ISBM US,Terminal Southern US Troll,TERM,Terminal US,0,,preterminal,yes
16,GEO ST T,Troll,Preterm,Canada,ECVI,ISBM,Ocean,ISBM Southern BC Troll,ISBM Canada,ISBM Southern BC Troll,CAN_ISBM,ISBM Canada,0,,preterminal,yes
17,ALASKA N,Net,Term,SEAK,SEAK,AABM,OceanNet,AABM SEAK Net,AABM US,AABM SEAK Net,SEAK_AABM,AABM SEAK,284.4142394,Alaska net,"preterminal net mature (for age 5+6), preterminal (for age 3+4)",no
18,NORTH N,Net,Term,Canada,NBC,ISBM,OceanNet,ISBM NBC&CBC Net,ISBM Canada,ISBM NBC&CBC Net,CAN_ISBM,ISBM Canada,0,Northern net. Zero catch,preterminal,yes
19,TNBC TERM N,Net,Term,Canada,NBC,ISBM,Term,ISBM NBC&CBC Net,ISBM Canada,ISBM NBC&CBC Net,CAN_ISBM,ISBM Canada,1439.31,"Includes Tyee test fishery, river-gap-slough fishery. Does this also include FSC in river net? ",terminal marine,no
20,CENTRL N,Net,Term,Canada,CBC,ISBM,OceanNet,ISBM NBC&CBC Net,ISBM Canada,ISBM NBC&CBC Net,CAN_ISBM,ISBM Canada,4.1,,"preterminal net mature (for age 5+6), preterminal (for age 3+4)",no
21,TCBC TERM N,Net,Term,Canada,CBC,ISBM,Term,ISBM NBC&CBC Net,ISBM Canada,ISBM NBC&CBC Net,CAN_ISBM,ISBM Canada,0,,preterminal,yes
22,TWCVI TERM N,Net,Term,Canada,WCVI,ISBM,Term,Terminal Canada Net,ISBM Canada,Terminal Canada Net,TERM,Terminal Canada,0,,preterminal,yes
23,WCVI N,Net,Term,Canada,WCVI,ISBM,OceanNet,ISBM Southern BC Net,ISBM Canada,ISBM Southern BC Net,CAN_ISBM,ISBM Canada,0,,preterminal,yes
24,GEO ST N,Net,Term,Canada,ECVI,ISBM,OceanNet,ISBM Southern BC Net,ISBM Canada,ISBM Southern BC Net,CAN_ISBM,ISBM Canada,0,,preterminal,yes
25,PGSDN N,Net,Term,SUS,Puget Sound,ISBM,OceanNet,ISBM Puget Sound Net,ISBM US,ISBM Puget Sound Net,SUS_ISBM,ISBM US,0,,preterminal,yes
26,TPGSDN TERM N,Net,Term,SUS,Puget Sound,ISBM,Term,ISBM Puget Sound Net,ISBM US,ISBM Puget Sound Net,SUS_ISBM,ISBM US,0,,preterminal,yes
27,US JF N,Net,Term,SUS,Puget Sound,ISBM,OceanNet,ISBM Puget Sound Net,ISBM US,ISBM Puget Sound Net,SUS_ISBM,ISBM US,0,,preterminal,yes
28,PGSDO N,Net,Term,SUS,Puget Sound,ISBM,OceanNet,ISBM Puget Sound Net,ISBM US,ISBM Puget Sound Net,SUS_ISBM,ISBM US,0,,preterminal,yes
29,TPGSDO TERM N,Net,Term,SUS,Puget Sound,ISBM,Term,ISBM Puget Sound Net,ISBM US,ISBM Puget Sound Net,SUS_ISBM,ISBM US,0,,preterminal,yes
