"y","a","H_star","tau_dot_M","phi_dot_M","r","phi_dot_E","Q","b"
2011,5,245,0.241288617934825,0,0.949337668291424,0.229497115837712,0.99493376675365,2006
2011,6,0,0.079305705797165,6.45977944311084e-05,1,0.308700142070485,1,2005
2012,4,102,0.379129645844813,0,0.157510884164826,0.0682248126010959,0.809374116978006,2008
2012,5,165,0.118418020215973,0,0.867406674073042,0.314823464517531,0.986740667209725,2007
2012,6,7,0,0,1,0.309793692325724,1,2006
2013,4,174,0.0626492836591102,0,0.376665924362763,0.194505383749778,0.87096398646812,2009
2013,5,308,0.0325084733249898,9.27134826621331e-05,0.671686306076048,0.136591904210134,0.967168630118379,2008
2013,6,37,0,0,1,0.0671110383584014,1,2007
2014,4,340,0.0149926403880221,0,0.234261057546241,0.0632504928718902,0.823912663435385,2010
2014,5,141,0.0316910458098686,0,0.912382527510317,0.178786443022495,0.991238252620471,2009
2014,6,53,0,2.7494343767021e-05,1,0.332391951439273,1,2008
2015,4,562,0.112456583804257,0,0.278152872976778,0.126250424494433,0.854083126564933,2011
2015,5,620,0.0461317044463178,0.0941305872907287,0.625532536880233,0.152279010577108,0.962553253130023,2010
2015,6,11,0,0,1,0.00035318382609054,1,2009
2016,4,72,0.0455088191721207,0,0.142933229120496,0.0760809536828761,0.824080138122729,2012
2016,5,599,0.127950265730072,0.0744907095529578,0.973203365991113,0.206410900127111,0.997320336559181,2011
2016,6,87,0.185152382098761,9.67403734655457e-05,1,0.0316555341589562,1,2010
2017,4,375,0.321125339645363,0,0.283118693956418,0.131791987042844,0.850428999834505,2013
2017,5,191,0.214336785044796,0.000259708333736887,0.934274299712326,0.143017041302621,0.993427429873294,2012
2017,6,77,0,0.000142531907736995,1,0.262763698367151,1,2011
2018,4,330,0.0441033212690514,0,0.342771176182167,0.0583644317905891,0.868554233277739,2014
2018,5,1061,0.0068239089739642,0,0.891984616231963,0.11232935569991,0.989198461462241,2013
2018,6,73,0,7.70169542136878e-05,1,0.000133739218226278,1,2012
2019,4,386,0.115456718081078,0,0.536194826216467,0.162409666881274,0.904467601524019,2015
2019,5,243,0.129736048794107,0.031678373640573,1,0.215325010115705,1,2014
2019,6,106,0,0,1,0.0657561682301719,1,2013
